COV_GDR,COV_AGR,COUNT(*),
2,6,73,
1,8,209,
1,7,302,
1,5,49,
1,6,154,
2,8,155,
2,7,161,
2,5,17,
2,99,17,
1,99,17,
9,99,1,
9,8,1,
