COV_GDR,COV_AGR,COUNT(*),
1,6,34,
1,8,302,
2,8,578,
2,7,86,
1,7,84,
2,99,2,
1,99,8,
9,8,9,
2,6,21,
1,5,8,
2,5,7,
9,7,1,
