COV_GDR,COV_AGR,COUNT(*),
2,8,456,
1,8,552,
1,6,113,
2,7,161,
1,99,31,
2,6,89,
2,5,42,
1,7,256,
2,99,29,
1,5,52,
9,7,1,
9,6,1,
9,99,1,
