COV_GDR,COV_AGR,COUNT(*),
1,6,312,
1,8,200,
2,6,112,
2,7,169,
1,7,357,
1,99,63,
2,5,60,
2,99,41,
2,8,163,
1,5,136,
9,99,1,
9,5,2,
9,7,3,
9,8,2,
9,6,2,
