COV_GDR,COV_AGR,COUNT(*),
1,8,57,
1,7,152,
2,7,59,
1,5,60,
2,5,24,
1,6,139,
2,99,29,
2,6,64,
2,8,23,
1,99,47,
9,99,1,
9,7,1,
