COV_GDR,COV_AGR,COUNT(*),
2,8,2891,
1,8,1851,
1,7,530,
2,6,108,
1,5,35,
2,7,420,
1,99,23,
1,6,158,
2,99,21,
2,5,23,
9,8,1,
