COV_GDR,COV_AGR,COUNT(*),
1,8,1270,
2,8,1251,
2,6,82,
2,7,324,
1,6,112,
1,7,364,
1,5,34,
2,5,31,
1,99,7,
2,99,4,
9,99,1,
